index,Formula,Phase,state,batch
0,Ag27Cu73,CRA,No Procesado,15
1,Ag35Ca65,BMG,No Procesado,2
2,Ag42Fe58,CRA,No Procesado,20
3,Ag48Cu52,CRA,No Procesado,11
4,Ag48Fe52,CRA,No Procesado,10
5,Ag50Fe50,CRA,No Procesado,14
6,Ag52Fe48,CRA,No Procesado,8
7,Ag55Fe45,CRA,No Procesado,15
8,Ag61Fe39,CRA,No Procesado,11
9,Ag63Fe37,CRA,No Procesado,7
10,Ag67Fe33,CRA,No Procesado,15
11,Ag70Fe30,CRA,No Procesado,15
12,Ag84Fe16,CRA,No Procesado,16
13,Al10La90,CRA,No Procesado,13
14,Al10Ti90,CRA,No Procesado,18
15,Al13La87,RMG,No Procesado,20
16,Al20La80,RMG,No Procesado,11
17,Al20Ti80,CRA,No Procesado,14
18,Al20Zr80,CRA,No Procesado,4
19,Al25Tb75,RMG,No Procesado,18
20,Al25Ti75,CRA,No Procesado,7
21,Al25Zr75,CRA,No Procesado,19
22,Al30Ca70,RMG,No Procesado,9
23,Al30La70,RMG,No Procesado,15
24,Al30Ti70,CRA,No Procesado,8
25,Al30Zr70,CRA,No Procesado,18
26,Al33.6Ca66.4,BMG,No Procesado,12
27,Al35Ti65,CRA,No Procesado,11
28,Al40Ca60,RMG,No Procesado,8
29,Al40Cu60T,CRA,No Procesado,1
30,Al40Gd60,RMG,No Procesado,10
31,Al40La60,RMG,No Procesado,5
32,Al40Ti60,CRA,No Procesado,17
33,Al45Gd55,RMG,No Procesado,6
34,Al45Ti55,CRA,No Procesado,18
35,Al50Cu50,CRA,No Procesado,13
36,Al50Gd50,RMG,No Procesado,4
37,Al50La50,RMG,No Procesado,4
38,Al55Gd45,RMG,No Procesado,20
39,Al55La45,RMG,No Procesado,10
40,Al55Ti45,CRA,No Procesado,12
41,Al57La43,RMG,No Procesado,18
42,Al60Cu40,CRA,No Procesado,7
43,Al60La40,CRA,No Procesado,14
44,Al60Ti40,CRA,No Procesado,4
45,Al65Ti35,CRA,No Procesado,6
46,Al70Cu30,CRA,No Procesado,13
47,Al70La30,CRA,No Procesado,3
48,Al70Ni30,CRA,No Procesado,15
49,Al70Ti30,CRA,No Procesado,5
50,Al75Cu25,CRA,No Procesado,17
51,Al80Cr20,CRA,No Procesado,15
52,Al80Cu20,CRA,No Procesado,12
53,Al80La20,CRA,No Procesado,16
54,Al80Ni20,CRA,No Procesado,11
55,Al80Ti20,CRA,No Procesado,6
56,Al81Cr19,CRA,No Procesado,9
57,Al82Sm18,CRA,No Procesado,14
58,Al83Cr17,CRA,No Procesado,15
59,Al84Cr16,CRA,No Procesado,7
60,Al84Sm16,RMG,No Procesado,8
61,Al85Gd15,CRA,No Procesado,10
62,Al85Y15,RMG,No Procesado,11
63,Al86Co14,CRA,No Procesado,18
64,Al86Cr14,CRA,No Procesado,6
65,Al86La14,RMG,No Procesado,20
66,Al86Nd14,RMG,No Procesado,15
67,Al86Ni14,CRA,No Procesado,8
68,Al86Sm14,RMG,No Procesado,7
69,Al86Y14,RMG,No Procesado,18
70,Al87Ce13,RMG,No Procesado,10
71,Al87Y13,RMG,No Procesado,10
72,Al88Ce12,RMG,No Procesado,12
73,Al88Co12,CRA,No Procesado,11
74,Al88Cr12,CRA,No Procesado,4
75,Al88Fe12,CRA,No Procesado,18
76,Al88Gd12,RMG,No Procesado,3
77,Al88Nd12,RMG,No Procesado,6
78,Al88Ni12,CRA,No Procesado,8
79,Al88Sm12,RMG,No Procesado,6
80,Al88Y12,RMG,No Procesado,17
81,Al89Ca11,RMG,No Procesado,14
82,Al89Ce11,RMG,No Procesado,5
83,Al89Y11,RMG,No Procesado,9
84,Al90Ca10,RMG,No Procesado,19
85,Al90Ce10,RMG,No Procesado,8
86,Al90Co10,CRA,No Procesado,2
87,Al90Cr10,CRA,No Procesado,3
88,Al90Fe10,CRA,No Procesado,10
89,Al90Gd10,RMG,No Procesado,16
90,Al90La10,RMG,No Procesado,2
91,Al90Nd10,RMG,No Procesado,15
92,Al90Ni10,CRA,No Procesado,1
93,Al90Sm10,RMG,No Procesado,14
94,Al90Y10,RMG,No Procesado,4
95,Al91Ca9,RMG,No Procesado,20
