index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
14.0,Al10Ti90,CRA,Al,Ti,0,0,0,0,0,0,2,10,90,0,0,0,0,0,0
19.0,Al25Tb75,RMG,Al,Tb,0,0,0,0,0,0,2,25,75,0,0,0,0,0,0
25.0,Al30Zr70,CRA,Al,Zr,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
34.0,Al45Ti55,CRA,Al,Ti,0,0,0,0,0,0,2,45,55,0,0,0,0,0,0
41.0,Al57La43,RMG,Al,La,0,0,0,0,0,0,2,57,43,0,0,0,0,0,0
63.0,Al86Co14,CRA,Al,Co,0,0,0,0,0,0,2,86,14,0,0,0,0,0,0
69.0,Al86Y14,RMG,Al,Y,0,0,0,0,0,0,2,86,14,0,0,0,0,0,0
75.0,Al88Fe12,CRA,Al,Fe,0,0,0,0,0,0,2,88,12,0,0,0,0,0,0
106.0,Al92Ni8,CRA,Al,Ni,0,0,0,0,0,0,2,92,8,0,0,0,0,0,0
115.0,Al94Gd6,CRA,Al,Gd,0,0,0,0,0,0,2,94,6,0,0,0,0,0,0
140.0,B13Fe87,RMG,B,Fe,0,0,0,0,0,0,2,13,87,0,0,0,0,0,0
146.0,B16Fe84,RMG,B,Fe,0,0,0,0,0,0,2,16,84,0,0,0,0,0,0
151.0,B18.5Co81.5,RMG,B,Co,0,0,0,0,0,0,2,18.5,81.5,0,0,0,0,0,0
157.0,B19Fe81,RMG,B,Fe,0,0,0,0,0,0,2,19,81,0,0,0,0,0,0
226.0,C5Ni95,CRA,C,Ni,0,0,0,0,0,0,2,5,95,0,0,0,0,0,0
227.0,Ca10Mg90,CRA,Ca,Mg,0,0,0,0,0,0,2,10,90,0,0,0,0,0,0
285.0,Cu60Zr40,RMG,Cu,Zr,0,0,0,0,0,0,2,60,40,0,0,0,0,0,0
323.0,Fe85Nd15,RMG,Fe,Nd,0,0,0,0,0,0,2,85,15,0,0,0,0,0,0
331.0,Fe92Zr8,RMG,Fe,Zr,0,0,0,0,0,0,2,92,8,0,0,0,0,0,0
344.0,La30Ni70,CRA,La,Ni,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
347.0,La50Ni50,CRA,La,Ni,0,0,0,0,0,0,2,50,50,0,0,0,0,0,0
367.0,Mg85Y15,RMG,Mg,Y,0,0,0,0,0,0,2,85,15,0,0,0,0,0,0
373.0,Mg90Y10,CRA,Mg,Y,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
396.0,Ni20Ti80,CRA,Ni,Ti,0,0,0,0,0,0,2,20,80,0,0,0,0,0,0
460.0,Si22Ti78,RMG,Si,Ti,0,0,0,0,0,0,2,22,78,0,0,0,0,0,0
499.0,Ag10Mg85Y5,CRA,Ag,Mg,Y,0,0,0,0,0,3,10,85,5,0,0,0,0,0
509.0,Ag15Ce4Cu81,CRA,Ag,Ce,Cu,0,0,0,0,0,3,15,4,81,0,0,0,0,0
511.0,Ag15Cu49Fe36,CRA,Ag,Cu,Fe,0,0,0,0,0,3,15,49,36,0,0,0,0,0
531.0,Ag22Cu41Fe37,CRA,Ag,Cu,Fe,0,0,0,0,0,3,22,41,37,0,0,0,0,0
572.0,Ag37.5Cu37.5Ge25,RMG,Ag,Cu,Ge,0,0,0,0,0,3,37.5,37.5,25,0,0,0,0,0
581.0,Ag40Ce10Cu50,RMG,Ag,Ce,Cu,0,0,0,0,0,3,40,10,50,0,0,0,0,0
642.0,Ag6Ce8Cu86,CRA,Ag,Ce,Cu,0,0,0,0,0,3,6,8,86,0,0,0,0,0
652.0,Ag9Cu82.5P8.5,CRA,Ag,Cu,P,0,0,0,0,0,3,9,82.5,8.5,0,0,0,0,0
675.0,Al10Cu30Ti60,RMG,Al,Cu,Ti,0,0,0,0,0,3,10,30,60,0,0,0,0,0
689.0,Al10Cu88Nd2,CRA,Al,Cu,Nd,0,0,0,0,0,3,10,88,2,0,0,0,0,0
728.0,Al10Ni55Zr35,RMG,Al,Ni,Zr,0,0,0,0,0,3,10,55,35,0,0,0,0,0
730.0,Al10Ni60Zr30,RMG,Al,Ni,Zr,0,0,0,0,0,3,10,60,30,0,0,0,0,0
804.0,Al15Ni15Zr70,RMG,Al,Ni,Zr,0,0,0,0,0,3,15,15,70,0,0,0,0,0
842.0,Al1La81Ni18,RMG,Al,La,Ni,0,0,0,0,0,3,1,81,18,0,0,0,0,0
890.0,Al20La45Ni35,RMG,Al,La,Ni,0,0,0,0,0,3,20,45,35,0,0,0,0,0
899.0,Al20Mg60Zn20,CRA,Al,Mg,Zn,0,0,0,0,0,3,20,60,20,0,0,0,0,0
901.0,Al20Ni10Zr70,RMG,Al,Ni,Zr,0,0,0,0,0,3,20,10,70,0,0,0,0,0
912.0,Al20Ni40Ti40,RMG,Al,Ni,Ti,0,0,0,0,0,3,20,40,40,0,0,0,0,0
962.0,Al25La70Ni5,RMG,Al,La,Ni,0,0,0,0,0,3,25,70,5,0,0,0,0,0
1004.0,Al30Ca60Ga10,RMG,Al,Ca,Ga,0,0,0,0,0,3,30,60,10,0,0,0,0,0
1008.0,Al30Cu20La50,RMG,Al,Cu,La,0,0,0,0,0,3,30,20,50,0,0,0,0,0
1012.0,Al30Cu35La35,RMG,Al,Cu,La,0,0,0,0,0,3,30,35,35,0,0,0,0,0
1029.0,Al30La60Ni10,RMG,Al,La,Ni,0,0,0,0,0,3,30,60,10,0,0,0,0,0
1036.0,Al30Ni15Zr55,RMG,Al,Ni,Zr,0,0,0,0,0,3,30,15,55,0,0,0,0,0
1040.0,Al30Ni30Zr40,RMG,Al,Ni,Zr,0,0,0,0,0,3,30,30,40,0,0,0,0,0
1081.0,Al40Cu30La30,CRA,Al,Cu,La,0,0,0,0,0,3,40,30,30,0,0,0,0,0
1122.0,Al45Mn20Si35,RMG,Al,Mn,Si,0,0,0,0,0,3,45,20,35,0,0,0,0,0
1142.0,Al4Ce10Cu86,CRA,Al,Ce,Cu,0,0,0,0,0,3,4,10,86,0,0,0,0,0
1148.0,Al4Cu92Nd4,CRA,Al,Cu,Nd,0,0,0,0,0,3,4,92,4,0,0,0,0,0
1159.0,Al50Cu40Ti10,RMG,Al,Cu,Ti,0,0,0,0,0,3,50,40,10,0,0,0,0,0
1196.0,Al54Mg32Pd14,CRA,Al,Mg,Pd,0,0,0,0,0,3,54,32,14,0,0,0,0,0
1222.0,Al56La42Ni2,RMG,Al,La,Ni,0,0,0,0,0,3,56,42,2,0,0,0,0,0
1268.0,Al5Ni40Zr55,RMG,Al,Ni,Zr,0,0,0,0,0,3,5,40,55,0,0,0,0,0
