index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
18.0,Al20Zr80,CRA,Al,Zr,0,0,0,0,0,0,2,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,Al50Gd50,RMG,Al,Gd,0,0,0,0,0,0,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,Al50La50,RMG,Al,La,0,0,0,0,0,0,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,Al60Ti40,CRA,Al,Ti,0,0,0,0,0,0,2,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,Al88Cr12,CRA,Al,Cr,0,0,0,0,0,0,2,88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,Al90Y10,RMG,Al,Y,0,0,0,0,0,0,2,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,Al96Mn4,CRA,Al,Mn,0,0,0,0,0,0,2,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,Au25Gd75,RMG,Au,Gd,0,0,0,0,0,0,2,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,B17.5Fe82.5,RMG,B,Fe,0,0,0,0,0,0,2,17.5,82.5,0.0,0.0,0.0,0.0,0.0,0.0
159.0,B20Fe80,RMG,B,Fe,0,0,0,0,0,0,2,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,B20Mo80,CRA,B,Mo,0,0,0,0,0,0,2,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
185.0,B38Co62,RMG,B,Co,0,0,0,0,0,0,2,38.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,B9Fe91,RMG,B,Fe,0,0,0,0,0,0,2,9.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
207.0,Be37Ti63,RMG,Be,Ti,0,0,0,0,0,0,2,37.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,C10Co90,CRA,C,Co,0,0,0,0,0,0,2,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,Ca70Mg30,RMG,Ca,Mg,0,0,0,0,0,0,2,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
236.0,Co33Zr67,RMG,Co,Zr,0,0,0,0,0,0,2,33.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,Cu15Mg85,CRA,Cu,Mg,0,0,0,0,0,0,2,15.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,Cu30Zr70,RMG,Cu,Zr,0,0,0,0,0,0,2,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
328.0,Fe90Sc10,RMG,Fe,Sc,0,0,0,0,0,0,2,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
330.0,Fe91Zr9,RMG,Fe,Zr,0,0,0,0,0,0,2,91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
352.0,Mg50Ni50,BMG,Mg,Ni,0,0,0,0,0,0,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
371.0,Mg90Nd10,CRA,Mg,Nd,0,0,0,0,0,0,2,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
379.0,Mg95Y5,CRA,Mg,Y,0,0,0,0,0,0,2,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
391.0,Nd80Ni20,CRA,Nd,Ni,0,0,0,0,0,0,2,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
395.0,Ni20Pd80,RMG,Ni,Pd,0,0,0,0,0,0,2,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,Ni30Ti70,RMG,Ni,Ti,0,0,0,0,0,0,2,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
401.0,Ni30Zr70,RMG,Ni,Zr,0,0,0,0,0,0,2,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
402.0,Ni33Ti67,RMG,Ni,Ti,0,0,0,0,0,0,2,33.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
424.0,Ni67Zr33,RMG,Ni,Zr,0,0,0,0,0,0,2,67.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
432.0,Ni80Ta20,RMG,Ni,Ta,0,0,0,0,0,0,2,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
450.0,Pd83.5Si16.5,RMG,Pd,Si,0,0,0,0,0,0,2,83.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0
463.0,Si80Ti20,RMG,Si,Ti,0,0,0,0,0,0,2,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
466.0,Ti20Zr80,RMG,Ti,Zr,0,0,0,0,0,0,2,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,Ag20Mg50Y30,RMG,Ag,Mg,Y,0,0,0,0,0,3,20.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0
544.0,Ag27Cu31Fe42,CRA,Ag,Cu,Fe,0,0,0,0,0,3,27.0,31.0,42.0,0.0,0.0,0.0,0.0,0.0
