Phase,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y
2,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,Zr,0.43328,6.634,1.316.267,2128.15,91.224,40,0.1603,0.175,4,5,4,2,0,2,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,Gd,0.137,6.15,1.212.624,1585.15,157.25,64,0.1801,0.196,3,6,3,2,0,1,1.2,1.35,37.03,10.6,5.1,7.9,10.05,66.663,3546.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,La,0.55,5.577,1.105.871,1193.15,138.91,57,0.1879,0.207,3,6,3,2,0,1,1.1,1.32,27.11,13.5,3.4,6.15,6.2,148.598,3737.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,Ti,0.076,6.828,1.357.517,1941.15,47.867,22,0.1462,0.16,4,4,4,2,0,2,1.54,1.46,25.06,21.9,4.1,4.506,15.45,51.316,3560.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,Cr,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,Y,0.307,6.217,1.222.988,1799.15,8.890.585,39,0.1802,0.19,3,5,3,2,0,1,1.22,1.39,26.53,17.2,3.1,4.47,11.4,65.694,3609.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,5.986,1.882.883,933.47,2.698.154,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237.0,4.19,2.7,10.79,16.472,2792.15,Mn,-0.5,7.434,1.563.974,1519.15,5.493.805,25,0.135,0.139,7,4,7,2,0,5,1.55,1.65,26.32,7.82,3.9,7.3,12.05,320.085,2334.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309,9.226,2.052.132,1337.33,196.97,79,0.1442,0.136,11,6,11,1,0,10,2.54,2.33,25.418,317.0,5.32,19.3,12.55,18.145,3129.15,Gd,0.137,6.15,1.212.624,1585.15,157.25,64,0.1801,0.196,3,6,3,2,0,1,1.2,1.35,37.03,10.6,5.1,7.9,10.05,66.663,3546.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17.5,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28,8.298,2.515.521,2349.15,10.81,5,0.082,0.084,13,2,3,2,1,0,2.04,1.77,11.087,27.0,4.75,2.34,50.2,86.991,4200.15,Fe,0.153,7.903,1.618.801,1811.15,55.845,26,0.1241,0.132,8,4,8,2,0,6,1.83,1.68,25.1,80.2,4.65,7.87,13.8,11.552,3134.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,8.298,2.515.521,2349.15,10.81,5,0.082,0.084,13,2,3,2,1,0,2.04,1.77,11.087,27.0,4.75,2.34,50.2,86.991,4200.15,Fe,0.153,7.903,1.618.801,1811.15,55.845,26,0.1241,0.132,8,4,8,2,0,6,1.83,1.68,25.1,80.2,4.65,7.87,13.8,11.552,3134.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
